"function_name"	"title"	"usage"	"description"
"col_rename<-"	"rename colname names"	"col_rename(x) <- value"	"rename colname names"
"config_items"	"Config items of 'NHANES' database"	"config_items(items)"	"Config items of 'NHANES' database"
"config_path"	"Config path of 'NHANES' database"	"config_path(path)"	"Config path of 'NHANES' database"
"config_temp"	"temporary config directory"	"config_temp()"	"temporary config directory"
"config_years"	"Config years of 'NHANES' database"	"config_years(cat = T)"	"Config years of 'NHANES' database"
"copy_with_structure"	""	"copy_with_structure(...)"	""
"create_db_dr.live.microbes"	""	"create_db_dr.live.microbes(...)"	""
"create_db_sprint"	""	"create_db_sprint(...)"	""
"create_dex_CMI"	""	"create_dex_CMI(...)"	""
"create_dex_LE8"	""	"create_dex_LE8(...)"	""
"create_dex_SDoH"	""	"create_dex_SDoH(...)"	""
"create_diag_MASLD.cap"	"create table"	"create_diag_MASLD.cap(version = 2)"	"create table"
"create_diag_MASLD.FLI"	""	"create_diag_MASLD.FLI(...)"	""
"create_diag_MASLD.usFLI"	""	"create_diag_MASLD.usFLI(...)"	""
"create_diag_smoke"	""	"create_diag_smoke(...)"	""
"crude.Model.n"	"crude model, model 1, model 2"	"crude.Model.n(   ...,   round = 2,   xlsx = NULL,   style = 1,   character2integer = TRUE,   quadratic = FALSE,   browseXLSX = TRUE )"	"crude model, model 1, model 2"
"cut_headtail"	"cut data by head and tail"	"cut_headtail(x, col, ..., cat = T)"	"cut data by head and tail"
"cut_headtail.data.frame"	""	"cut_headtail.data.frame(...)"	""
"cut_headtail.numeric"	""	"cut_headtail.numeric(...)"	""
"cvd.points.men.table"	""	"cvd.points.men.table(...)"	""
"cvd.points.women.table"	""	"cvd.points.women.table(...)"	""
"d2db"	"\","	"d2db(d)"	"\","
"data_years"	""	"data_years(...)"	""
"DataDist"	"modify datadist"	"DataDist(   ...,   data,   q.display,   q.effect = c(0.25, 0.75),   adjto.cat = c(\"mode\", \"first\"),   n.unique = 10 )"	"modify datadist"
"db_Alcohol.drinks"	"alcohol drinks In the past 12 months, on those days that you drank alcoholic beverages, on the average, how many drinks did you have?"	"db_Alcohol.drinks(data, years, Year = FALSE, join = \"left\")"	"alcohol drinks In the past 12 months, on those days that you drank alcoholic beverages, on the average, how many drinks did you have?"
"db_alpha.rb"	"Alpha Diversity - DADA2 Remove unassigned bacteria"	"db_alpha.rb(data, join = \"left\", Year = F)"	"Alpha Diversity - DADA2 Remove unassigned bacteria"
"db_alpha.rsv"	"Alpha Diversity - DADA2 Remove SV1032"	"db_alpha.rsv(data, join = \"left\", Year = F)"	"Alpha Diversity - DADA2 Remove SV1032"
"db_aux"	"Audiometry"	"db_aux(   data,   years,   self_reported_better_ear = FALSE,   self_reported_better_ear2 = FALSE,   excessive_cerumen_left_ear = FALSE,   impacted_cerumen_left_ear = FALSE,   otoscopy_left_ear = FALSE,   collapsing_ear_canals_left_ear = FALSE,   other_ear_exam_abnormality_left = FALSE,   normal_otoscopy_right_ear = FALSE,   excessive_cerumen_right_ear = FALSE,   impacted_cerumen_right_ear = FALSE,   collapsing_ear_canals_right_ear = FALSE,   comment_other_ear_exam_abnormality_right = FALSE,   tympanic_right_middle_ear_pressure_dapa = FALSE,   tympanic_right_physical_volume_cc = FALSE,   tympanic_right_width = FALSE,   tympanic_right_compliance = FALSE,   tympanic_left_middle_ear_pressure_dapa = FALSE,   tympanic_left_physical_volume_cc = FALSE,   tympanic_left_width = FALSE,   tympanic_left_compliance = FALSE,   which_ear_tested_first = FALSE,   audio_test_mode = FALSE,   frequency_switch_to_manual_mode_left = FALSE,   frequency_switch_to_manual_mode_right = FALSE,   right_threshold_1000hz_db = FALSE,   right_threshold_500hz_db = FALSE,   right_threshold_1000hz_2nd_read_db = FALSE,   right_threshold_2000hz_db = FALSE,   right_threshold_3000hz_db = FALSE,   right_threshold_4000hz_db = FALSE,   right_threshold_6000hz_db = FALSE,   right_threshold_8000hz_db = FALSE,   left_threshold_1000hz_db = FALSE,   left_threshold_500hz_db = FALSE,   left_threshold_1000hz_2nd_read_db = FALSE,   left_threshold_2000hz_db = FALSE,   left_threshold_3000hz_db = FALSE,   left_threshold_4000hz_db = FALSE,   left_threshold_6000hz_db = FALSE,   left_threshold_8000hz_db = FALSE,   right_retest_threshold_1000hz_db = FALSE,   right_retest_threshold_500hz_db = FALSE,   right_retest_threshold_1000hz_2nd_read = FALSE,   right_retest_threshold_2000hz_db = FALSE,   right_retest_threshold_3000hz_db = FALSE,   right_retest_threshold_4000hz_db = FALSE,   right_retest_threshold_6000hz_db = FALSE,   right_retest_threshold_8000hz_db = FALSE,   left_retest_threshold_1000hz_db = FALSE,   left_retest_threshold_500hz_db = FALSE,   left_retest_threshold_1000_2nd_read = FALSE,   left_retest_threshold_2000hz_db = FALSE,   left_retest_threshold_3000hz_db = FALSE,   left_retest_threshold_4000hz_db = FALSE,   left_retest_threshold_6000hz_db = FALSE,   left_retest_threshold_8000hz_db = FALSE,   left_ear_quality_code = FALSE,   right_ear_quality_code = FALSE,   tympanogram_type_right_ear = FALSE,   tympanogram_type_left_ear = FALSE,   weight = FALSE,   cat = TRUE,   Year = FALSE,   join = \"left\" )"	"Audiometry"
"db_auxar1"	"Audiometry - Acoustic Reflex before 2012"	"db_auxar1(   data,   years,   left = FALSE,   right = FALSE,   khz1 = FALSE,   khz2 = FALSE,   right_1khz = FALSE,   right_2khz = FALSE,   left_1khz = FALSE,   left_2khz = FALSE,   weight = FALSE,   Year = FALSE,   join = \"left\" )"	"Audiometry - Acoustic Reflex before 2012"
"db_auxar2"	"Audiometry - Acoustic Reflex after 2015"	"db_auxar2(   data,   years,   ear_tested = FALSE,   sound_stimulus_level = FALSE,   detected = FALSE,   time = FALSE,   compliance = FALSE,   Year = FALSE,   join = \"left\" )"	"Audiometry - Acoustic Reflex after 2015"
"db_auxtym1"	"Audiometry - Tympanometry before 2012"	"db_auxtym1(   data,   years,   left = FALSE,   right = FALSE,   weight = FALSE,   Year = FALSE,   join = \"left\" )"	"Audiometry - Tympanometry before 2012"
"db_auxtym2"	"Audiometry - Tympanometry after 2015"	"db_auxtym2(   data,   years,   ear_tested = FALSE,   pressure = FALSE,   admittance = FALSE,   Year = FALSE,   join = \"left\" )"	"Audiometry - Tympanometry after 2015"
"db_auxwbr"	"Audiometry – Wideband Reflectance"	"db_auxwbr(   data,   years,   ear_tested = FALSE,   frequency = FALSE,   absorbance = FALSE,   Year = FALSE,   join = \"left\" )"	"Audiometry – Wideband Reflectance"
"db_beta.rsv.braycurtis"	"Beta Diversity - DADA2 Remove SV1032"	"db_beta.rsv.braycurtis(data, join = \"left\", Year = F) db_beta.rsv.braycurtis(data, join = \"left\", Year = F)"	"Beta Diversity - DADA2 Remove SV1032 Beta Diversity - DADA2 Remove unassigned bacteria"
"db_beta.rsv.unwunifrac"	"Beta Diversity - DADA2 Remove SV1032"	"db_beta.rsv.unwunifrac(data, join = \"left\", Year = F) db_beta.rsv.unwunifrac(data, join = \"left\", Year = F)"	"Beta Diversity - DADA2 Remove SV1032 Beta Diversity - DADA2 Remove unassigned bacteria"
"db_beta.rsv.wunifrac"	"Beta Diversity - DADA2 Remove SV1032"	"db_beta.rsv.wunifrac(data, join = \"left\", Year = F) db_beta.rsv.wunifrac(data, join = \"left\", Year = F)"	"Beta Diversity - DADA2 Remove SV1032 Beta Diversity - DADA2 Remove unassigned bacteria"
"db_blood.pressure"	"attach blood pressure"	"db_blood.pressure(   data,   years,   bpx = TRUE,   dar = TRUE,   n = 4,   Year = FALSE,   join = \"left\" )"	"attach blood pressure"
"db_bodyMeasure"	"body measurement data from bmx file"	"db_bodyMeasure(   data,   years,   head_circumference_cm,   arm_circumference_cm,   upper_arm_length_cm,   triceps_skinfold_mm,   subscapular_skinfold_mm,   sagittal_abdominal_diameter_1st_cm,   sagittal_abdominal_diameter_2nd_cm,   sagittal_abdominal_diameter_3rd_cm,   sagittal_abdominal_diameter_4th_cm,   average_sagittal_abdominal_diameter_cm,   waist_circumference_cm,   hip_circumference_cm,   thigh_circumference_cm,   upper_leg_length_cm,   maximal_calf_circumference_cm,   height_cm,   recumbent_length_cm,   Weight_kg,   BMI_kg.m2,   BMI_Category_Children.Adolescents,   Year = FALSE,   join = \"left\" )"	"body measurement data from bmx file"
"db_carotenoid"	"daily carotenoid intake(mcg)"	"db_carotenoid(   data,   years,   day = 1,   both2days = TRUE,   fun = \"mean\",   all.5 = TRUE,   component = FALSE,   ds = TRUE,   Year = FALSE,   join = \"left\" )"	"daily carotenoid intake(mcg)"
"db_cbc"	"Complete Blood Count with 5 Part Differential Whole Blood"	"db_cbc(   data,   years,   wbc_1000cells.ul,   Lymphocyte_percent,   Monocyte_percent,   Segmented_neutrophils_percent,   Eosinophils_percent,   Basophils_percent,   lymphocyte_number_1000cells.ul,   Monocyte_number_1000cells.ul,   Segmented_neutrophils_number_1000cells.ul,   Eosinophils_number_1000cells.ul,   Basophils_number_1000cells.ul,   Red_blood_cell_count_MillionCells.uL,   hemoglobin_g.dl,   hematocrit,   Mean_cell_volume_fL,   Mean_cell_hemoglobin_pg,   Mean_cell_hemoglobin_concentration_g.dL,   Red_cell_distribution_width,   Platelet_count_1000cells.uL,   Mean_platelet_volume_fL,   Year = FALSE,   join = \"left\" )"	"Complete Blood Count with 5 Part Differential Whole Blood"
"db_cfq"	"Cognitive Functioning 1999-2013"	"db_cfq(   data,   years,   all = F,   cfq_status = FALSE,   language = FALSE,   cerad_completion_status = FALSE,   cerad_reason_not_complete = FALSE,   cerad_score_trial_1_recall = FALSE,   cerad_score_trial_2_recall = FALSE,   cerad_score_trial_3_recall = FALSE,   cerad_score_delayed_recall = FALSE,   cerad_intrusion_word_count_trial_1 = FALSE,   cerad_intrusion_word_count_trial_2 = FALSE,   cerad_intrusion_word_count_trial_3 = FALSE,   cerad_intrusion_word_count_recall = FALSE,   animal_fluency_sample_practice_pretest = FALSE,   animal_fluency_reason_not_done = FALSE,   animal_fluency_score_total = FALSE,   digit_symbol_sample_practice_pretest = FALSE,   digit_symbol_reason_not_done = FALSE,   digit_symbol_score = FALSE,   Year = FALSE,   join = \"left\" )"	"Cognitive Functioning 1999-2013"
"db_coffee"	"coffee consumption"	"db_coffee(   data,   years,   day = 1,   fun = c(\"mean\", \"alone\", \"sum\"),   both2days = TRUE,   unit = c(\"gram\", \"kcal\", \"cup\"),   caffeinate = FALSE,   sweeten = FALSE,   fat = FALSE,   milk = FALSE,   cappuccino = FALSE,   cuban = FALSE,   espresso = FALSE,   frappuccino = FALSE,   latte = FALSE,   macchiato = FALSE,   mexican = FALSE,   mocha = FALSE,   turkish = FALSE,   Year = FALSE,   join = \"left\",   food.code = NULL )"	"coffee consumption"
"db_coffee.time"	"咖啡引用时间"	"db_coffee.time(data = NULL, years, day = 1, Year = F, join = \"left\")"	"返回咖啡每个时间段的平均引用频率, 咖啡提取的方法：以编码921开头的食物，参考文献pmid：39776171"
"db_demo"	"extract demo data"	"db_demo(   data,   years,   ageyr,   agemth,   sex,   eth1,   eth2,   eth3,   military,   country_of_birth,   citizenship,   time_in_US,   edu,   in_school,   marital,   household_size,   family_size,   annual_household_income,   annual_family_income,   poverty,   status,   exam_month,   wtint2yr,   wtint4yr,   wtmec2yr,   wtmec4yr,   psu_strat = TRUE,   Year = FALSE,   join = \"left\",   lower_cd = FALSE )"	"extract demo data"
"db_dnmepi"	"DNA甲基化数据"	"db_dnmepi(   data,   all = FALSE,   xy_estimation,   horvathage,   hannumage,   skinbloodage,   phenoage,   gdf15mort,   b2mmort,   cystatincmort,   timp1mort,   admmort,   pai1mort,   leptinmort,   packyrsmort,   crpmort,   loga1cmort,   grimagemort,   grimage2mort,   horvathtelo,   yangcell,   zhangage,   linage,   weidnerage,   vidalbraloage,   dunedinpoam,   cd8tpp,   cd4tpp,   nkcell,   bcell,   monopp,   neupp,   wtdn4yr,   join = \"left\" )"	"DNA甲基化数据"
"db_dr.alcoh.beverages"	"酒精饮料 alcoholic beverages"	"提取以能量为单位的 db_dr.alcoh.beverages(years=2011,kcal=TRUE) 提取以克为单位的 db_dr.alcoh.beverages(years=2011,grams=TRUE)"	"酒精饮料包括：  beer  wine  liquor  cocktails  mixed beverages 返回两个值：alcoh.beverages_kcal和alcoh.beverages_grams  alcoh.beverages_kcal：指的是酒精饮料摄入的能量  alcoh.beverages_grams：指的是酒精饮料摄入的克数"
"db_dr.apple"	"苹果 apple"	"提取以能量为单位的 db_dr.apple(years=2011,kcal=TRUE) 提取以克为单位的 db_dr.apple(years=2011,grams=TRUE)"	"返回两个值：apple_kcal和apple_grams  apple_kcal：指的是苹果摄入的能量  apple_grams：指的是苹果摄入的克数 论文中的描述方法：从FNDDS数据中提取饮食数据，并根据WWEIA Category分类提取apple，包括apple和apple juice"
"db_dr.bananas"	"香蕉 bananas"	"提取以能量为单位的 db_dr.bananas(years=2011,kcal=TRUE) 提取以克为单位的 db_dr.bananas(years=2011,grams=TRUE)"	"返回两个值：bananas_kcal和bananas_grams  bananas_kcal：指的是香蕉摄入的能量  bananas_grams：指的是香蕉摄入的克数 论文中的描述方法：从FNDDS数据中提取饮食数据，并根据WWEIA Category分类提取bananas"
"db_dr.fdcd"	"extract us food.code from dietary"	"db_dr.fdcd(data, years, Year = FALSE, lower = T)"	"extract us food.code from dietary"
"db_dr.iceCream"	"冰淇淋和冷冻乳制品甜点 Ice cream and frozen dairy desserts"	"提取以能量为单位的 db_dr.iceCream(years=2011,kcal=TRUE) 提取以克为单位的 db_dr.iceCream(years=2011,grams=TRUE)"	"返回两个值：iceCream_kcal和iceCream_grams  iceCream_kcal：指的是冰淇淋摄入的能量  iceCream_grams：指的是冰淇淋摄入的克数 论文中的描述方法：从FNDDS数据中提取饮食数据，并根据WWEIA Category分类提取iceCream"
"db_dr.live.microbes"	"live.microbes"	"db_dr.live.microbes(   data,   years,   grams_Lo,   grams_Med,   grams_Hi,   Year,   join = \"left\" )"	"live.microbes"
"db_dr.milk"	"饮食奶"	"提取以克为单位的数据 db_dr.milk(years=2011,grams=TRUE) 提取以能量为单位的数据 db_dr.milk(years=2011,kcal=TRUE)"	"饮食奶分位4个部分  whole milk  nonfat milk  reduced fat milk  low fat milk  milk substitutes 返回的数据以kcal结尾的是能量，以grams结尾的是克"
"db_dr.nuts"	"坚果 nuts and seeds"	"提取以能量为单位的 db_dr.nuts(years=2011,kcal=TRUE) 提取以克为单位的 db_dr.nuts(years=2011,grams=TRUE)"	"返回两个值：nuts_kcal和nuts_grams  nuts_kcal：指的是坚果摄入的能量  nuts_grams：指的是坚果摄入的克数 论文中的描述方法：从FNDDS数据中提取饮食数据，并根据WWEIA Category分类提取nuts and seeds"
"db_dr.ProcessedMeat"	"ProcessedMeat预处理肉的摄入"	"db_dr.ProcessedMeat(   data,   all = FALSE,   years,   day = 1,   Year = F,   pf_meat,   pf_curedmeat,   cured_redmeat,   total_redmeat,   pf_poult,   unproc_poultry,   cured_poultry,   nug_pat_fil,   total_proc_poultry,   total_poultry,   red_and_cured_1,   red_and_processed_2,   join = \"left\" )"	"ProcessedMeat预处理肉的摄入"
"db_dr.ssb"	"含糖饮料 Sugar-Sweetened Beverages"	"提取以能量为单位的 db_dr.ssb(years=2011,kcal=TRUE) 提取以克为单位的 db_dr.ssb(years=2011,grams=TRUE)"	"含糖饮料包括：  Soft drinks  fruit drinks (not 100%)  sport and energy drinks  nutritional beverages  smoothies  grain drinks  bottled water  carbonated water  sweetened coffee and tea 返回两个值：ssb_kcal和ssb_grams  ssb_kcal：指的是含糖饮料摄入的能量  ssb_grams：指的是含糖饮料摄入的克数"
"db_driff"	"Dietary Interview - Individual Foods"	"db_driff(   data,   years,   day = 1,   both2days = FALSE,   fun = \"mean\",   NA20 = F,   wtdrd1 = FALSE,   wtdr2d = FALSE,   wtdr4yr = FALSE,   rstz = FALSE,   breast_fed_infant = FALSE,   day_of_week = FALSE,   combination_food_number = FALSE,   combination_food_type = FALSE,   time_of_eating_occasion_hh.mm = FALSE,   meal_name = FALSE,   source_of_food = FALSE,   eaten_at_home = FALSE,   grams = FALSE,   energy_kcal = FALSE,   protein_g = FALSE,   carbohydrate_g = FALSE,   total_sugars_g = FALSE,   dietary_fiber_g = FALSE,   total_fat_g = FALSE,   total_sfat_g = FALSE,   total_mfat_g = FALSE,   total_pfat_g = FALSE,   cholesterol_mg = FALSE,   vitamin_E_as_alpha_tocopherol_mg = FALSE,   added_alpha_tocopherol_vitamin_E_mg = FALSE,   retinol_mcg = FALSE,   vitamin_A_rae_mcg = FALSE,   alpha_carotene_mcg = FALSE,   beta_carotene_mcg = FALSE,   beta_cryptoxanthin_mcg = FALSE,   lycopene_mcg = FALSE,   lutein_zeaxanthin_mcg = FALSE,   thiamin_vitamin_B1_mg = FALSE,   riboflavin_vitamin_B2_mg = FALSE,   niacin_mg = FALSE,   vitamin_B6_mg = FALSE,   total_folate_mcg = FALSE,   folic_acid_mcg = FALSE,   food_folate_mcg = FALSE,   folate_dfe_mcg = FALSE,   vitamin_B12_mcg = FALSE,   added_vitamin_B12_mcg = FALSE,   vitamin_C_mg = FALSE,   vitamin_K_mcg = FALSE,   calcium_mg = FALSE,   phosphorus_mg = FALSE,   magnesium_mg = FALSE,   iron_mg = FALSE,   zinc_mg = FALSE,   copper_mg = FALSE,   sodium_mg = FALSE,   potassium_mg = FALSE,   selenium_mcg = FALSE,   caffeine_mg = FALSE,   theobromine_mg = FALSE,   alcohol_g = FALSE,   moisture_g = FALSE,   sfa_4.0_butanoic_g = FALSE,   sfa_6.0_hexanoic_g = FALSE,   sfa_8.0_octanoic_g = FALSE,   sfa_10.0_decanoic_g = FALSE,   sfa_12.0_dodecanoic_g = FALSE,   sfa_14.0_tetradecanoic_g = FALSE,   sfa_16.0_hexadecanoic_g = FALSE,   sfa_18.0_octadecanoic_g = FALSE,   mfa_16.1_hexadecenoic_g = FALSE,   mfa_18.1_octadecenoic_g = FALSE,   mfa_20.1_eicosenoic_g = FALSE,   mfa_22.1_docosenoic_g = FALSE,   pfa_18.2_octadecadienoic_g = FALSE,   pfa_18.3_octadecatrienoic_g = FALSE,   pfa_18.4_octadecatetraenoic_g = FALSE,   pfa_20.4_eicosatetraenoic_g = FALSE,   pfa_20.5_eicosapentaenoic_g = FALSE,   pfa_22.5_docosapentaenoic_g = FALSE,   pfa_22.6_docosahexaenoic_g = FALSE,   total_choline_mg = FALSE,   number_of_days = FALSE,   vitamin_D_d2_d3_mcg = FALSE,   Year = FALSE,   join = \"left\",   group_sum = FALSE )"	"Dietary Interview - Individual Foods"
"db_drtot"	"attach tot data"	"db_drtot(   data,   years,   day = 1,   fun = c(\"mean\", \"sum\", \"alone\"),   wtdrd1 = FALSE,   wtdr4yr = FALSE,   wtdr2d = FALSE,   rstz = FALSE,   breast_fed_infant = FALSE,   day_of_week = FALSE,   foods_number = FALSE,   diet_on_special = FALSE,   diet_wllh = FALSE,   diet_lowfat = FALSE,   diet_lowsalt = FALSE,   diet_lowsugar = FALSE,   diet_lowfiber = FALSE,   diet_highfiber = FALSE,   diet_diabetic = FALSE,   diet_weightgain = FALSE,   diet_lowcarbohydrate = FALSE,   diet_highprotein = FALSE,   diet_glutenfree = FALSE,   diet_kidney = FALSE,   diet_otherspecial = FALSE,   energy_kcal = FALSE,   protein_g = FALSE,   carbohydrate_g = FALSE,   total_sugars_g = FALSE,   dietary_fiber_g = FALSE,   total_fat_g = FALSE,   total_sfat_g = FALSE,   total_mfat_g = FALSE,   total_pfat_g = FALSE,   cholesterol_mg = FALSE,   vitamin_A_rae_mcg = FALSE,   retinol_mcg = FALSE,   carotene_re.1999 = FALSE,   alpha_carotene_mcg = FALSE,   beta_carotene_mcg = FALSE,   beta_cryptoxanthin_mcg = FALSE,   lycopene_mcg = FALSE,   lutein_zeaxanthin_mcg = FALSE,   thiamin_vitamin_B1_mg = FALSE,   riboflavin_vitamin_B2_mg = FALSE,   niacin_mg = FALSE,   vitamin_B6_mg = FALSE,   total_folate_mcg = FALSE,   folic_acid_mcg = FALSE,   food_folate_mcg = FALSE,   folate_dfe_mcg = FALSE,   total_choline_mg = FALSE,   vitamin_B12_mcg = FALSE,   added_vitamin_B12_mcg = FALSE,   vitamin_C_mg = FALSE,   vitamin_D_d2_d3_mcg = FALSE,   vitamin_E_as_alpha_tocopherol_mg = FALSE,   added_alpha_tocopherol_vitamin_E_mg = FALSE,   vitamin_K_mcg = FALSE,   calcium_mg = FALSE,   phosphorus_mg = FALSE,   magnesium_mg = FALSE,   iron_mg = FALSE,   zinc_mg = FALSE,   copper_mg = FALSE,   sodium_mg = FALSE,   potassium_mg = FALSE,   selenium_mcg = FALSE,   caffeine_mg = FALSE,   theobromine_mg = FALSE,   alcohol_g = FALSE,   moisture_g = FALSE,   sfa_4.0_butanoic_g = FALSE,   sfa_6.0_hexanoic_g = FALSE,   sfa_8.0_g = FALSE,   sfa_10.0_g = FALSE,   sfa_12.0_g = FALSE,   sfa_14.0_g = FALSE,   sfa_16.0_g = FALSE,   sfa_18.0_g = FALSE,   mfa_16.1_g = FALSE,   mfa_18.1_g = FALSE,   mfa_20.1_g = FALSE,   mfa_22.1_g = FALSE,   pfa_18.2_g = FALSE,   pfa_18.3_g = FALSE,   pfa_18.4_g = FALSE,   pfa_20.4_g = FALSE,   pfa_20.5_g = FALSE,   pfa_22.5_g = FALSE,   pfa_22.6_g = FALSE,   compare_to_usual = FALSE,   water_total_plain_g = FALSE,   water_total_tap_g = FALSE,   water_total_bottled_g = FALSE,   water_plain_carbonated_g = FALSE,   water_tap_source = FALSE,   salt_type = FALSE,   salt_added_frequency = FALSE,   salt_used_in_preparation = FALSE,   salt_used_at_table_yesterday = FALSE,   shellfish = FALSE,   clams = FALSE,   clams_times = FALSE,   crabs = FALSE,   crabs_times = FALSE,   crayfish = FALSE,   crayfish_times = FALSE,   lobsters = FALSE,   lobsters_times = FALSE,   mussels = FALSE,   mussels_times = FALSE,   oysters = FALSE,   oysters_times = FALSE,   scallops = FALSE,   scallops_times = FALSE,   shrimp = FALSE,   shrimp_times = FALSE,   other_shellfish = FALSE,   other_shellfish_times = FALSE,   unknown_shellfish = FALSE,   unknown_shellfish_times = FALSE,   refused_shellfish = FALSE,   fish = FALSE,   breaded_fish = FALSE,   breaded_fish_times = FALSE,   tuna = FALSE,   tuna_times = FALSE,   bass = FALSE,   bass_times = FALSE,   catfish = FALSE,   catfish_times = FALSE,   cod = FALSE,   cod_times = FALSE,   flatfish = FALSE,   flatfish_times = FALSE,   haddock = FALSE,   haddock_times = FALSE,   mackerel = FALSE,   mackerel_times = FALSE,   perch = FALSE,   perch_times = FALSE,   pike = FALSE,   pike_times = FALSE,   pollock = FALSE,   pollock_times = FALSE,   porgy = FALSE,   porgy_times = FALSE,   salmon = FALSE,   salmon_times = FALSE,   sardines = FALSE,   sardines_times = FALSE,   sea_bass = FALSE,   sea_bass_times = FALSE,   shark = FALSE,   shark_times = FALSE,   swordfish = FALSE,   swordfish_times = FALSE,   trout = FALSE,   trout_times = FALSE,   walleye = FALSE,   walleye_times = FALSE,   other_fish = FALSE,   other_fish_times = FALSE,   unknown_fish = FALSE,   unknown_fish_times = FALSE,   refused_fish = FALSE,   Year = FALSE,   both2days = TRUE,   join = \"left\" )"	"attach tot data"
"db_ds.manganese"	"db_ds.manganese"	"db_ds.manganese(data, years, Year = FALSE, join = \"left\")"	"db_ds.manganese"
"db_ds.melatonin"	"melatonin in dietary supplement unit: mg, exclude:1999"	"db_ds.melatonin(data, years, Year = FALSE, join = \"left\")"	"melatonin in dietary supplement unit: mg, exclude:1999"
"db_ds.silicon"	"silicon in dietary supplement unit: mg, exclude:1999"	"db_ds.silicon(data, years, Year = FALSE, join = \"left\")"	"silicon in dietary supplement unit: mg, exclude:1999"
"db_ds.zinc"	"db_ds.zinc"	"db_ds.zinc(data, years, Year = FALSE, join = \"left\")"	"db_ds.zinc"
