"function_name"	"category"	"help_topic"	"argument"	"required"	"default"	"standard_value"	"standard_rule"	"description"
"add_variable"	"utility"	"add_variable"	"data"	FALSE	"NULL"	"NULL"	"Preserve the package default."	""
"add_week"	"utility"	"add_week"	"x"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	"x"
"add_week"	"utility"	"add_week"	"p"	FALSE	"1"	"1"	"Preserve the package default."	"time"
"add_year"	"utility"	"add_year"	"x"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	"x"
"add_year"	"utility"	"add_year"	"p"	FALSE	"1"	"1"	"Preserve the package default."	"time"
"arrange2"	"utility"	"arrange2"	"x"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	"dataframe"
"arrange2"	"utility"	"arrange2"	"..."	FALSE	""	""	"Pass extra expressions explicitly."	"colnames"
"arrange2"	"utility"	"arrange2"	"warn"	FALSE	"T"	"T"	"Preserve the package default."	""
"character2numeric"	"utility"	"character2numeric"	"x"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	"vector"
"col.counts"	"utility"	"col.counts"	"data"	TRUE	""	"cohort_dat"	"Use the standard data object name for this stage."	"dataframe"
"col.max"	"utility"	"col.max"	"data"	TRUE	""	"cohort_dat"	"Use the standard data object name for this stage."	"dataframe"
"col.means"	"utility"	"col.means"	"data"	TRUE	""	"cohort_dat"	"Use the standard data object name for this stage."	"dataframe"
"col.means"	"utility"	"col.means"	"na.rm"	FALSE	"TRUE"	"TRUE"	"Preserve the package default."	"logical"
"col.sums"	"utility"	"col.sums"	"data"	TRUE	""	"cohort_dat"	"Use the standard data object name for this stage."	"dataframe"
"col.sums"	"utility"	"col.sums"	"na.rm"	FALSE	"TRUE"	"TRUE"	"Preserve the package default."	"logical"
"config_path"	"setup_discovery"	"config_path"	"path"	TRUE	""	"normalizePath(Sys.getenv(\"MIMIC_DB_ROOT\", unset = \"E:/MIMIC/mimic-iv-3.0\"), winslash = \"/\", mustWork = FALSE)"	"Prefer MIMIC_DB_ROOT so the database location is configured once per machine."	"path of mimic database"
"crude.Model.n"	"plot_model"	"crude.Model.n"	"..."	FALSE	""	""	"Pass extra expressions explicitly."	"多个模型，model0, model1, model2"
"crude.Model.n"	"plot_model"	"crude.Model.n"	"bys"	FALSE	"NULL"	"NULL"	"Preserve the package default."	""
"crude.Model.n"	"plot_model"	"crude.Model.n"	"round"	FALSE	"2"	"2"	"Preserve the package default."	"保留小数位数，默认为2位"
"crude.Model.n"	"plot_model"	"crude.Model.n"	"xlsx"	FALSE	"NULL"	"NULL"	"Preserve the package default."	"赋值excel名字，把结果写出去，例如xlsx=\"结果.xslx\""
"crude.Model.n"	"plot_model"	"crude.Model.n"	"character2integer"	FALSE	"TRUE"	"TRUE"	"Preserve the package default."	"logical"
"crude.Model.n"	"plot_model"	"crude.Model.n"	"quadratic"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	"logical"
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"hadm_id"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"ACEI"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"Benazepril"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"Captopril"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"Enalapril"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"Fosinopril"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"Lisinopril"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"Moexipril"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"Perindopril"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"Quinapril"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"Ramipril"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm"	"day_summary"	"d1_acei.pre_hadm"	"Trandolapril"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm.t"	"day_summary"	"d1_acei.pre_hadm.t"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_acei.pre_hadm.t"	"day_summary"	"d1_acei.pre_hadm.t"	"subject_id"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm.t"	"day_summary"	"d1_acei.pre_hadm.t"	"hadm_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_acei.pre_hadm.t"	"day_summary"	"d1_acei.pre_hadm.t"	"starttime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm.t"	"day_summary"	"d1_acei.pre_hadm.t"	"stoptime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm.t"	"day_summary"	"d1_acei.pre_hadm.t"	"acei"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_acei.pre_hadm.t"	"day_summary"	"d1_acei.pre_hadm.t"	"drugYesNo"	FALSE	"F"	"F"	"Preserve the package default."	""
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"hadm_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Antibiotic"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Aminoglycoside"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Aztreonam"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"beta_lactamase.inhibitor.combination"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Carbapenems"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Cephalosporins_1"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Cephalosporins_2"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Cephalosporins_3"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Cephalosporins_4"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Cephalosporins_5"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Chloramphenicol"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Dicloxacillin"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Ery_tab"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Flagyl"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Glycopeptide"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Lincosamide"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Linezolid"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Macrodantin"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Macrolide"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Nitrofurans"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Penicillins"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Quinolone"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Rifampin"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Streptomycin"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Sulfonamide"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm"	"day_summary"	"d1_antibiotic.pre_hadm"	"Tetracycline"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm.t"	"day_summary"	"d1_antibiotic.pre_hadm.t"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_antibiotic.pre_hadm.t"	"day_summary"	"d1_antibiotic.pre_hadm.t"	"subject_id"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm.t"	"day_summary"	"d1_antibiotic.pre_hadm.t"	"hadm_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_antibiotic.pre_hadm.t"	"day_summary"	"d1_antibiotic.pre_hadm.t"	"stay_id"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm.t"	"day_summary"	"d1_antibiotic.pre_hadm.t"	"antibiotic"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm.t"	"day_summary"	"d1_antibiotic.pre_hadm.t"	"route"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm.t"	"day_summary"	"d1_antibiotic.pre_hadm.t"	"starttime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm.t"	"day_summary"	"d1_antibiotic.pre_hadm.t"	"stoptime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antibiotic.pre_hadm.t"	"day_summary"	"d1_antibiotic.pre_hadm.t"	"drugYesNo"	FALSE	"F"	"F"	"Preserve the package default."	""
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"hadm_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"antifungal"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"Fluconazole"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"Voriconazole"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"Itraconazole"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"Ketoconazole"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"Posaconazole"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"Isavuconazonium"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"Caspofungin"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"Anidulafungin"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"Micafungin"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"Amphotericin_B"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm"	"day_summary"	"d1_antifungal.pre_hadm"	"Nystatin"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	"logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"hadm_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"drugYesNo"	FALSE	"F"	"F"	"Preserve the package default."	""
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"poe_seq"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"poe_id"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"pharmacy_id"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"starttime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"stoptime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"drug_type"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"drug"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"CN"	TRUE	""	"NULL"	"Required but not inferable from metadata alone; confirm before execution."	""
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"formulary_drug_cd"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"gsn"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"ndc"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"prod_strength"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"form_rx"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"dose_val_rx"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"dose_unit_rx"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"form_val_disp"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"form_unit_disp"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"doses_per_24_hrs"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_antifungal.pre_hadm.t"	"day_summary"	"d1_antifungal.pre_hadm.t"	"route"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"stay_id"	FALSE	"T"	"T"	"Preserve the package default."	"T"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"aps3"	FALSE	"T"	"T"	"Preserve the package default."	"T"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"aps3_prob"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"hr_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"mbp_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"temp_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"resp_rate_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"pao2_aado2_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"hematocrit_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"wbc_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"creatinine_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"uo_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"bun_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"sodium_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"albumin_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"bilirubin_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"glucose_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"acidbase_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_aps3_icu"	"day_summary"	"d1_aps3_icu"	"gcs_score"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_arb.pre_hadm.t"	"day_summary"	"d1_arb.pre_hadm.t"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_arb.pre_hadm.t"	"day_summary"	"d1_arb.pre_hadm.t"	"subject_id"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_arb.pre_hadm.t"	"day_summary"	"d1_arb.pre_hadm.t"	"hadm_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_arb.pre_hadm.t"	"day_summary"	"d1_arb.pre_hadm.t"	"starttime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_arb.pre_hadm.t"	"day_summary"	"d1_arb.pre_hadm.t"	"stoptime"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_arb.pre_hadm.t"	"day_summary"	"d1_arb.pre_hadm.t"	"arb"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_arb.pre_hadm.t"	"day_summary"	"d1_arb.pre_hadm.t"	"drugYesNo"	FALSE	"F"	"F"	"Preserve the package default."	""
"d1_blood.differential_icu"	"day_summary"	"d1_blood.differential_icu"	"all"	FALSE	"FALSE"	"FALSE"	"Preserve the package default."	""
"d1_blood.differential_icu"	"day_summary"	"d1_blood.differential_icu"	"stay_id"	FALSE	"T"	"T"	"Preserve the package default."	"character or logical"
"d1_blood.differential_icu"	"day_summary"	"d1_blood.differential_icu"	"wbc_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_blood.differential_icu"	"day_summary"	"d1_blood.differential_icu"	"basophils_abs_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_blood.differential_icu"	"day_summary"	"d1_blood.differential_icu"	"eosinophils_abs_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_blood.differential_icu"	"day_summary"	"d1_blood.differential_icu"	"lymphocytes_abs_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
"d1_blood.differential_icu"	"day_summary"	"d1_blood.differential_icu"	"monocytes_abs_max"	TRUE	""	"FALSE"	"Use FALSE unless the protocol requires otherwise."	"character or logical"
