"function_name"	"object_type"	"category"	"help_topic"	"title"	"usage"	"description"	"standard_call"
"d1_acei.pre_hadm"	"function"	"day_summary"	"d1_acei.pre_hadm"	"acei.pre（入院第1天开始使用）"	"d1_acei.pre_hadm( all = FALSE, hadm_id, ACEI, Benazepril, Captopril, Enalapril, Fosinopril, Lisinopril, Moexipril, Perindopril, Quinapril, Ramipril, Trandolapril )"	"acei.pre（入院第1天开始使用）"	"d1_acei.pre_hadm(all = FALSE, hadm_id = FALSE, ACEI = FALSE, Benazepril = FALSE, Captopril = FALSE, Enalapril = FALSE, Fosinopril = FALSE, Lisinopril = FALSE, Moexipril = FALSE, Perindopril = FALSE, Quinapril = FALSE, Ramipril = FALSE, Trandolapril = FALSE)"
"d1_acei.pre_hadm.t"	"function"	"day_summary"	"d1_acei.pre_hadm.t"	"acei（入院第1天开始使用）"	"d1_acei.pre_hadm.t( all = FALSE, subject_id, hadm_id = T, starttime, stoptime, acei, drugYesNo = F )"	"acei（入院第1天开始使用）"	"d1_acei.pre_hadm.t(all = FALSE, subject_id = FALSE, hadm_id = T, starttime = FALSE, stoptime = FALSE, acei = FALSE, drugYesNo = F)"
"d1_antibiotic.pre_hadm"	"function"	"day_summary"	"d1_antibiotic.pre_hadm"	"antibiotic.pre（入院第1天开始使用）"	"d1_antibiotic.pre_hadm( all = FALSE, hadm_id = T, Antibiotic, Aminoglycoside, Aztreonam, beta_lactamase.inhibitor.combination, Carbapenems, Cephalosporins_1, Cephalosporins_2, Cephalosporins_3, Cephalosporins_4, Cephalosporins_5, Chloramphenicol, Dicloxacillin, Ery_tab, Flagyl, Glycopeptide, Lincosamide, Linezolid, Macrodantin, Macrolide, Nitrofurans, Penicillins, Quinolone, Rifampin, Streptomycin, Sulfonamide, Tetracycline )"	"antibiotic.pre（入院第1天开始使用）"	"d1_antibiotic.pre_hadm(all = FALSE, hadm_id = T, Antibiotic = FALSE, Aminoglycoside = FALSE, Aztreonam = FALSE, beta_lactamase.inhibitor.combination = FALSE, Carbapenems = FALSE, Cephalosporins_1 = FALSE, Cephalosporins_2 = FALSE, Cephalosporins_3 = FALSE, Cephalosporins_4 = FALSE, Cephalosporins_5 = FALSE, Chloramphenicol = FALSE, Dicloxacillin = FALSE, Ery_tab = FALSE, Flagyl = FALSE, Glycopeptide = FALSE, Lincosamide = FALSE, Linezolid = FALSE, Macrodantin = FALSE, Macrolide = FALSE, Nitrofurans = FALSE, Penicillins = FALSE, Quinolone = FALSE, Rifampin = FALSE, Streptomycin = FALSE, Sulfonamide = FALSE, Tetracycline = FALSE)"
"d1_antibiotic.pre_hadm.t"	"function"	"day_summary"	"d1_antibiotic.pre_hadm.t"	"抗生素（入院第1天开始使用）"	"d1_antibiotic.pre_hadm.t( all = FALSE, subject_id, hadm_id = T, stay_id, antibiotic, route, starttime, stoptime, drugYesNo = F )"	"抗生素（入院第1天开始使用）"	"d1_antibiotic.pre_hadm.t(all = FALSE, subject_id = FALSE, hadm_id = T, stay_id = FALSE, antibiotic = FALSE, route = FALSE, starttime = FALSE, stoptime = FALSE, drugYesNo = F)"
"d1_antifungal.pre_hadm"	"function"	"day_summary"	"d1_antifungal.pre_hadm"	"antifungal（入院第1天开始使用）"	"d1_antifungal.pre_hadm( all = FALSE, hadm_id = T, antifungal, Fluconazole, Voriconazole, Itraconazole, Ketoconazole, Posaconazole, Isavuconazonium, Caspofungin, Anidulafungin, Micafungin, Amphotericin_B, Nystatin )"	"antifungal（入院第1天开始使用）"	"d1_antifungal.pre_hadm(all = FALSE, hadm_id = T, antifungal = FALSE, Fluconazole = FALSE, Voriconazole = FALSE, Itraconazole = FALSE, Ketoconazole = FALSE, Posaconazole = FALSE, Isavuconazonium = FALSE, Caspofungin = FALSE, Anidulafungin = FALSE, Micafungin = FALSE, Amphotericin_B = FALSE, Nystatin = FALSE)"
"d1_antifungal.pre_hadm.t"	"function"	"day_summary"	"d1_antifungal.pre_hadm.t"	"antifungal（入院第1天开始使用）"	"d1_antifungal.pre_hadm.t( all = FALSE, hadm_id = T, drugYesNo = F, poe_seq, poe_id, pharmacy_id, starttime, stoptime, drug_type, drug, CN, formulary_drug_cd, gsn, ndc, prod_strength, form_rx, dose_val_rx, dose_unit_rx, form_val_disp, form_unit_disp, doses_per_24_hrs, route )"	"antifungal（入院第1天开始使用）"	"d1_antifungal.pre_hadm.t(all = FALSE, hadm_id = T, drugYesNo = F, poe_seq = FALSE, poe_id = FALSE, pharmacy_id = FALSE, starttime = FALSE, stoptime = FALSE, drug_type = FALSE, drug = FALSE, CN = NULL, formulary_drug_cd = FALSE, gsn = FALSE, ndc = FALSE, prod_strength = FALSE, form_rx = FALSE, dose_val_rx = FALSE, dose_unit_rx = FALSE, form_val_disp = FALSE, form_unit_disp = FALSE, doses_per_24_hrs = FALSE, route = FALSE)"
"d1_aps3_icu"	"function"	"day_summary"	"d1_aps3_icu"	"d1_aps3_icu"	"d1_aps3_icu( all = FALSE, stay_id = T, aps3 = T, aps3_prob, hr_score, mbp_score, temp_score, resp_rate_score, pao2_aado2_score, hematocrit_score, wbc_score, creatinine_score, uo_score, bun_score, sodium_score, albumin_score, bilirubin_score, glucose_score, acidbase_score, gcs_score )"	"d1_aps3_icu"	"d1_aps3_icu(all = FALSE, stay_id = T, aps3 = T, aps3_prob = FALSE, hr_score = FALSE, mbp_score = FALSE, temp_score = FALSE, resp_rate_score = FALSE, pao2_aado2_score = FALSE, hematocrit_score = FALSE, wbc_score = FALSE, creatinine_score = FALSE, uo_score = FALSE, bun_score = FALSE, sodium_score = FALSE, albumin_score = FALSE, bilirubin_score = FALSE, glucose_score = FALSE, acidbase_score = FALSE, gcs_score = FALSE)"
"d1_arb.pre_hadm.t"	"function"	"day_summary"	"d1_arb.pre_hadm.t"	"arb（入院第1天开始使用）"	"d1_arb.pre_hadm.t( all = FALSE, subject_id, hadm_id = T, starttime, stoptime, arb, drugYesNo = F )"	"arb（入院第1天开始使用）"	"d1_arb.pre_hadm.t(all = FALSE, subject_id = FALSE, hadm_id = T, starttime = FALSE, stoptime = FALSE, arb = FALSE, drugYesNo = F)"
"d1_blood.differential_icu"	"function"	"day_summary"	"d1_blood.differential_icu"	"d1_blood.differential_icu"	"d1_blood.differential_icu( all = FALSE, stay_id = T, wbc_max, basophils_abs_max, eosinophils_abs_max, lymphocytes_abs_max, monocytes_abs_max, neutrophils_abs_max, basophils_max, eosinophils_max, lymphocytes_max, monocytes_max, neutrophils_max, atypical_lymphocytes_max, bands_max, immature_granulocytes_max, metamyelocytes_max, nrbc_max, wbc_min, basophils_abs_min, eosinophils_abs_min, lymphocytes_abs_min, monocytes_abs_min, neutrophils_abs_min, basophils_min, eosinophils_min, lymphocytes_min, monocytes_min, neutrophils_min, atypical_lymphocytes_min, bands_min, immature_granulocytes_min, metamyelocytes_min, nrbc_min )"	"d1_blood.differential_icu"	"d1_blood.differential_icu(all = FALSE, stay_id = T, wbc_max = FALSE, basophils_abs_max = FALSE, eosinophils_abs_max = FALSE, lymphocytes_abs_max = FALSE, monocytes_abs_max = FALSE, neutrophils_abs_max = FALSE, basophils_max = FALSE, eosinophils_max = FALSE, lymphocytes_max = FALSE, monocytes_max = FALSE, neutrophils_max = FALSE, atypical_lymphocytes_max = FALSE, bands_max = FALSE, immature_granulocytes_max = FALSE, metamyelocytes_max = FALSE, nrbc_max = FALSE, wbc_min = FALSE, basophils_abs_min = FALSE, eosinophils_abs_min = FALSE, lymphocytes_abs_min = FALSE, monocytes_abs_min = FALSE, neutrophils_abs_min = FALSE, basophils_min = FALSE, eosinophils_min = FALSE, lymphocytes_min = FALSE, monocytes_min = FALSE, neutrophils_min = FALSE, atypical_lymphocytes_min = FALSE, bands_min = FALSE, immature_granulocytes_min = FALSE, metamyelocytes_min = FALSE, nrbc_min = FALSE)"
"d1_blood.gas.ART_icu"	"function"	"day_summary"	"d1_blood.gas.ART_icu"	"入住icu第一天的动脉血气分析"	"d1_blood.gas.ART_icu( all = FALSE, subject_id, stay_id = T, SO2_max, PO2_mmHg_max, PCO2_mmHg_max, aado2_mmHg_max, aado2_calc_max, PaO2FiO2ratio_max, ph_max, baseexcess_mEq.L_max, bicarbonate_mEq.L_max, totalCO2_mEq.L_max, hematocrit_max, hemoglobin_g.dL_max, carboxyhemoglobin_max, methemoglobin_max, chloride_mEq.L_max, free_calcium_mmol.L_max, temperature_max, potassium_mEq.L_max, sodium_mEq.L_max, lactate_max, glucose_mg.dL_max, SO2_min, PO2_mmHg_min, PCO2_mmHg_min, aado2_mmHg_min, aado2_calc_min, PaO2FiO2ratio_min, ph_min, baseexcess_mEq.L_min, bicarbonate_mEq.L_min, totalCO2_mEq.L_min, hematocrit_min, hemoglobin_g.dL_min, carboxyhemoglobin_min, methemoglobin_min, chloride_mEq.L_min, free_calcium_mmol.L_min, temperature_min, potassium_mEq.L_min, sodium_mEq.L_min, lactate_min, glucose_mg.dL_min )"	"入住icu第一天的动脉血气分析"	"d1_blood.gas.ART_icu(all = FALSE, subject_id = FALSE, stay_id = T, SO2_max = FALSE, PO2_mmHg_max = FALSE, PCO2_mmHg_max = FALSE, aado2_mmHg_max = FALSE, aado2_calc_max = FALSE, PaO2FiO2ratio_max = FALSE, ph_max = FALSE, baseexcess_mEq.L_max = FALSE, bicarbonate_mEq.L_max = FALSE, totalCO2_mEq.L_max = FALSE, hematocrit_max = FALSE, hemoglobin_g.dL_max = FALSE, carboxyhemoglobin_max = FALSE, methemoglobin_max = FALSE, chloride_mEq.L_max = FALSE, free_calcium_mmol.L_max = FALSE, temperature_max = FALSE, potassium_mEq.L_max = FALSE, sodium_mEq.L_max = FALSE, lactate_max = FALSE, glucose_mg.dL_max = FALSE, SO2_min = FALSE, PO2_mmHg_min = FALSE, PCO2_mmHg_min = FALSE, aado2_mmHg_min = FALSE, aado2_calc_min = FALSE, PaO2FiO2ratio_min = FALSE, ph_min = FALSE, baseexcess_mEq.L_min = FALSE, bicarbonate_mEq.L_min = FALSE, totalCO2_mEq.L_min = FALSE, hematocrit_min = FALSE, hemoglobin_g.dL_min = FALSE, carboxyhemoglobin_min = FALSE, methemoglobin_min = FALSE, chloride_mEq.L_min = FALSE, free_calcium_mmol.L_min = FALSE, temperature_min = FALSE, potassium_mEq.L_min = FALSE, sodium_mEq.L_min = FALSE, lactate_min = FALSE, glucose_mg.dL_min = FALSE)"
"d1_blood.gas_icu"	"function"	"day_summary"	"d1_blood.gas_icu"	"入住icu第一天的血气分析"	"d1_blood.gas_icu( all = FALSE, subject_id, stay_id = T, SO2_max, PO2_mmHg_max, PCO2_mmHg_max, aado2_mmHg_max, aado2_calc_max, PaO2FiO2ratio_max, ph_max, baseexcess_mEq.L_max, bicarbonate_mEq.L_max, totalCO2_mEq.L_max, hematocrit_max, hemoglobin_g.dL_max, carboxyhemoglobin_max, methemoglobin_max, chloride_mEq.L_max, free_calcium_mmol.L_max, temperature_max, potassium_mEq.L_max, sodium_mEq.L_max, lactate_max, glucose_mg.dL_max, SO2_min, PO2_mmHg_min, PCO2_mmHg_min, aado2_mmHg_min, aado2_calc_min, PaO2FiO2ratio_min, ph_min, baseexcess_mEq.L_min, bicarbonate_mEq.L_min, totalCO2_mEq.L_min, hematocrit_min, hemoglobin_g.dL_min, carboxyhemoglobin_min, methemoglobin_min, chloride_mEq.L_min, free_calcium_mmol.L_min, temperature_min, potassium_mEq.L_min, sodium_mEq.L_min, lactate_min, glucose_mg.dL_min )"	"入住icu第一天的血气分析"	"d1_blood.gas_icu(all = FALSE, subject_id = FALSE, stay_id = T, SO2_max = FALSE, PO2_mmHg_max = FALSE, PCO2_mmHg_max = FALSE, aado2_mmHg_max = FALSE, aado2_calc_max = FALSE, PaO2FiO2ratio_max = FALSE, ph_max = FALSE, baseexcess_mEq.L_max = FALSE, bicarbonate_mEq.L_max = FALSE, totalCO2_mEq.L_max = FALSE, hematocrit_max = FALSE, hemoglobin_g.dL_max = FALSE, carboxyhemoglobin_max = FALSE, methemoglobin_max = FALSE, chloride_mEq.L_max = FALSE, free_calcium_mmol.L_max = FALSE, temperature_max = FALSE, potassium_mEq.L_max = FALSE, sodium_mEq.L_max = FALSE, lactate_max = FALSE, glucose_mg.dL_max = FALSE, SO2_min = FALSE, PO2_mmHg_min = FALSE, PCO2_mmHg_min = FALSE, aado2_mmHg_min = FALSE, aado2_calc_min = FALSE, PaO2FiO2ratio_min = FALSE, ph_min = FALSE, baseexcess_mEq.L_min = FALSE, bicarbonate_mEq.L_min = FALSE, totalCO2_mEq.L_min = FALSE, hematocrit_min = FALSE, hemoglobin_g.dL_min = FALSE, carboxyhemoglobin_min = FALSE, methemoglobin_min = FALSE, chloride_mEq.L_min = FALSE, free_calcium_mmol.L_min = FALSE, temperature_min = FALSE, potassium_mEq.L_min = FALSE, sodium_mEq.L_min = FALSE, lactate_min = FALSE, glucose_mg.dL_min = FALSE)"
"d1_blood.lipid_icu"	"function"	"day_summary"	"d1_blood.lipid_icu"	"d1_blood.lipid_icu"	"d1_blood.lipid_icu( all = FALSE, stay_id = T, TG_mg.dL_max, TG_mg.dL_min, TC_mg.dL_max, TC_mg.dL_min, LDL_mg.dL_max, LDL_mg.dL_min, HDL_mg.dL_max, HDL_mg.dL_min )"	"d1_blood.lipid_icu"	"d1_blood.lipid_icu(all = FALSE, stay_id = T, TG_mg.dL_max = FALSE, TG_mg.dL_min = FALSE, TC_mg.dL_max = FALSE, TC_mg.dL_min = FALSE, LDL_mg.dL_max = FALSE, LDL_mg.dL_min = FALSE, HDL_mg.dL_max = FALSE, HDL_mg.dL_min = FALSE)"
"d1_BMI_icu"	"function"	"day_summary"	"d1_BMI_icu"	"d1_BMI_icu"	"d1_BMI_icu( all = FALSE, stay_id = T, BMI, BMI_admit, BMI_max, BMI_min, height_m, weight, weight_admit, weight_max, weight_min )"	"d1_BMI_icu"	"d1_BMI_icu(all = FALSE, stay_id = T, BMI = FALSE, BMI_admit = FALSE, BMI_max = FALSE, BMI_min = FALSE, height_m = FALSE, weight = FALSE, weight_admit = FALSE, weight_max = FALSE, weight_min = FALSE)"
"d1_Braden_icu"	"function"	"day_summary"	"d1_Braden_icu"	"d1_Braden_icu"	"d1_Braden_icu( all = FALSE, stay_id = T, Braden_min, Braden_max, Sensory.Perception_min, Moisture_min, Activity_min, Mobility_min, Nutrition_min, Friction.Shear_min, Sensory.Perception_max, Moisture_max, Activity_max, Mobility_max, Nutrition_max, Friction.Shear_max )"	"详细的评分描述参考这篇PMID: 38071493, 在附录中有一个表格"	"d1_Braden_icu(all = FALSE, stay_id = T, Braden_min = FALSE, Braden_max = FALSE, Sensory.Perception_min = FALSE, Moisture_min = FALSE, Activity_min = FALSE, Mobility_min = FALSE, Nutrition_min = FALSE, Friction.Shear_min = FALSE, Sensory.Perception_max = FALSE, Moisture_max = FALSE, Activity_max = FALSE, Mobility_max = FALSE, Nutrition_max = FALSE, Friction.Shear_max = FALSE)"
"d1_chemistry_icu"	"function"	"day_summary"	"d1_chemistry_icu"	"d1_chemistry_icu"	"d1_chemistry_icu( all = FALSE, stay_id = T, albumin_g.dL_max, globulin_g.dL_max, total_protein_g.dL_max, aniongap_mEq.L_max, bicarbonate_mEq.L_max, bun_mg.dL_max, total_calcium_mg.dL_max, chloride_mEq.L_max, creatinine_mg.dL_max, glucose_mg.dL_max, sodium_mEq.L_max, potassium_mEq.L_max, albumin_g.dL_min, globulin_g.dL_min, total_protein_g.dL_min, aniongap_mEq.L_min, bicarbonate_mEq.L_min, bun_mg.dL_min, total_calcium_mg.dL_min, chloride_mEq.L_min, creatinine_mg.dL_min, glucose_mg.dL_min, sodium_mEq.L_min, potassium_mEq.L_min )"	"d1_chemistry_icu"	"d1_chemistry_icu(all = FALSE, stay_id = T, albumin_g.dL_max = FALSE, globulin_g.dL_max = FALSE, total_protein_g.dL_max = FALSE, aniongap_mEq.L_max = FALSE, bicarbonate_mEq.L_max = FALSE, bun_mg.dL_max = FALSE, total_calcium_mg.dL_max = FALSE, chloride_mEq.L_max = FALSE, creatinine_mg.dL_max = FALSE, glucose_mg.dL_max = FALSE, sodium_mEq.L_max = FALSE, potassium_mEq.L_max = FALSE, albumin_g.dL_min = FALSE, globulin_g.dL_min = FALSE, total_protein_g.dL_min = FALSE, aniongap_mEq.L_min = FALSE, bicarbonate_mEq.L_min = FALSE, bun_mg.dL_min = FALSE, total_calcium_mg.dL_min = FALSE, chloride_mEq.L_min = FALSE, creatinine_mg.dL_min = FALSE, glucose_mg.dL_min = FALSE, sodium_mEq.L_min = FALSE, potassium_mEq.L_min = FALSE)"
"d1_coagulation_icu"	"function"	"day_summary"	"d1_coagulation_icu"	"d1_coagulation_icu"	"d1_coagulation_icu( all = FALSE, stay_id = T, D_dimer_ng.mL_max, fibrinogen_mg.dL_max, thrombin_sec_max, INR_max, pt_sec_max, ptt_sec_max, D_dimer_ng.mL_min, fibrinogen_mg.dL_min, thrombin_sec_min, INR_min, pt_sec_min, ptt_sec_min )"	"d1_coagulation_icu"	"d1_coagulation_icu(all = FALSE, stay_id = T, D_dimer_ng.mL_max = FALSE, fibrinogen_mg.dL_max = FALSE, thrombin_sec_max = FALSE, INR_max = FALSE, pt_sec_max = FALSE, ptt_sec_max = FALSE, D_dimer_ng.mL_min = FALSE, fibrinogen_mg.dL_min = FALSE, thrombin_sec_min = FALSE, INR_min = FALSE, pt_sec_min = FALSE, ptt_sec_min = FALSE)"
"d1_complete.blood.count_icu"	"function"	"day_summary"	"d1_complete.blood.count_icu"	"d1_complete.blood.count_icu"	"d1_complete.blood.count_icu( all = FALSE, stay_id = T, hematocrit_max, hemoglobin_g.dL_max, mch_pg_max, mchc_g.dL_max, mcv_fL_max, platelet_max, rbc_max, rdw_max, wbc_max, hematocrit_min, hemoglobin_g.dL_min, mch_pg_min, mchc_g.dL_min, mcv_fL_min, platelet_min, rbc_min, rdw_min, wbc_min )"	"d1_complete.blood.count_icu"	"d1_complete.blood.count_icu(all = FALSE, stay_id = T, hematocrit_max = FALSE, hemoglobin_g.dL_max = FALSE, mch_pg_max = FALSE, mchc_g.dL_max = FALSE, mcv_fL_max = FALSE, platelet_max = FALSE, rbc_max = FALSE, rdw_max = FALSE, wbc_max = FALSE, hematocrit_min = FALSE, hemoglobin_g.dL_min = FALSE, mch_pg_min = FALSE, mchc_g.dL_min = FALSE, mcv_fL_min = FALSE, platelet_min = FALSE, rbc_min = FALSE, rdw_min = FALSE, wbc_min = FALSE)"
"d1_dobutamine.input_icu.t"	"function"	"day_summary"	"d1_dobutamine.input_icu.t"	"多巴酚丁胺（入院第1天开始使用）"	"d1_dobutamine.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"多巴酚丁胺（入院第1天开始使用）"	"d1_dobutamine.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = FALSE, linkorderid = FALSE, drugYesNo = F)"
"d1_dopamine.input_icu.t"	"function"	"day_summary"	"d1_dopamine.input_icu.t"	"多巴胺（入院第1天开始使用）"	"d1_dopamine.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"多巴胺（入院第1天开始使用）"	"d1_dopamine.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = FALSE, linkorderid = FALSE, drugYesNo = F)"
"d1_epinephrine.input_icu.t"	"function"	"day_summary"	"d1_epinephrine.input_icu.t"	"肾上腺素（入院第1天开始使用）"	"d1_epinephrine.input_icu.t( all = FALSE, stay_id = T, starttime, endtime, vaso_amount, vaso_rate, linkorderid, drugYesNo = F )"	"肾上腺素（入院第1天开始使用）"	"d1_epinephrine.input_icu.t(all = FALSE, stay_id = T, starttime = FALSE, endtime = FALSE, vaso_amount = FALSE, vaso_rate = FALSE, linkorderid = FALSE, drugYesNo = F)"
"d1_GCS_icu"	"function"	"day_summary"	"d1_GCS_icu"	"入住icu第一天的GCS评分"	"d1_GCS_icu( all = FALSE, stay_id = T, gcs_min = T, gcs_motor, gcs_verbal, gcs_eyes, gcs_unable )"	"入住icu第一天的GCS评分"	"d1_GCS_icu(all = FALSE, stay_id = T, gcs_min = T, gcs_motor = FALSE, gcs_verbal = FALSE, gcs_eyes = FALSE, gcs_unable = FALSE)"
"d1_height_icu"	"function"	"day_summary"	"d1_height_icu"	"height day 1"	"d1_height_icu(all = FALSE, stay_id = T, height_cm = T)"	"height day 1"	"d1_height_icu(all = FALSE, stay_id = T, height_cm = T)"
"d1_inflammation_icu"	"function"	"day_summary"	"d1_inflammation_icu"	"d1_inflammation_icu"	"d1_inflammation_icu( all = FALSE, stay_id = T, crp_mg.L_max, hs_crp_mg.L_max, crp_mg.L_min, hs_crp_mg.L_min )"	"d1_inflammation_icu"	"d1_inflammation_icu(all = FALSE, stay_id = T, crp_mg.L_max = FALSE, hs_crp_mg.L_max = FALSE, crp_mg.L_min = FALSE, hs_crp_mg.L_min = FALSE)"
