skill_name,source_path,integrated_file,characters,source_encoding,status
gs-advanced-search,embedded-source/gs-advanced-search/SKILL.md,gs-advanced-search.md,4788,utf-8-sig,integrated
gs-cited-by,embedded-source/gs-cited-by/SKILL.md,gs-cited-by.md,3740,utf-8-sig,integrated
gs-export,embedded-source/gs-export/SKILL.md,gs-export.md,4894,utf-8-sig,integrated
gs-fulltext,embedded-source/gs-fulltext/SKILL.md,gs-fulltext.md,4200,utf-8-sig,integrated
gs-navigate-pages,embedded-source/gs-navigate-pages/SKILL.md,gs-navigate-pages.md,3603,utf-8-sig,integrated
gs-search,embedded-source/gs-search/SKILL.md,gs-search.md,4071,utf-8-sig,integrated
humanizer,embedded-source/humanizer/SKILL.md,humanizer.md,21038,utf-8-sig,integrated
ieee-xplore-database,embedded-source/ieee-xplore-database/SKILL.md,ieee-xplore-database.md,1174,utf-8-sig,integrated
iterative-review-writing,embedded-source/iterative-review-writing/SKILL.md,iterative-review-writing.md,5601,utf-8-sig,integrated
literature-review-workflow,embedded-source/literature-review-workflow/SKILL.md,literature-review-workflow.md,7584,utf-8-sig,integrated
manuscript-writing-polish-format,embedded-source/manuscript-writing-polish-format/SKILL.md,manuscript-writing-polish-format.md,5722,utf-8-sig,integrated
medical_research_architect,embedded-source/medical_research_architect/SKILL.md,medical-research-architect.md,8434,utf-8-sig,integrated
medical-rct-advanced,embedded-source/medical-rct-advanced/SKILL.md,medical-rct-advanced.md,16904,utf-8-sig,integrated
medical-research-submission,embedded-source/medical-research-submission/SKILL.md,medical-research-submission.md,6980,utf-8-sig,integrated
medical-review-writing,embedded-source/medical-review-writing/SKILL.md,medical-review-writing.md,10985,utf-8-sig,integrated
medical-stat-project-agent,embedded-source/medical-stat-project-agent/SKILL.md,medical-stat-project-agent.md,5748,utf-8-sig,integrated
method-innovation-engine,embedded-source/method-innovation-engine/SKILL.md,method-innovation-engine.md,6103,utf-8-sig,integrated
mimicr-agent,embedded-source/mimicr-agent/SKILL.md,mimicr-agent.md,7424,utf-8-sig,integrated
nanadraw-biomedical-mcp,embedded-source/nanadraw-biomedical-mcp/SKILL.md,nanadraw-biomedical-mcp.md,24217,utf-8-sig,integrated
narrative-review-replication,embedded-source/narrative-review-replication/SKILL.md,narrative-review-replication.md,19690,utf-8-sig,integrated
nhanesr-auto-params,embedded-source/nhanesr-auto-params/SKILL.md,nhanesr-auto-params.md,8712,utf-8-sig,integrated
nhanesr-function-reference,embedded-source/nhanesr-function-reference/SKILL.md,nhanesr-function-reference.md,4065,utf-8-sig,integrated
nhanesr-research-agent,embedded-source/nhanesr-research-agent/SKILL.md,nhanesr-research-agent.md,6452,gb18030,integrated
nsfc-topic-ideation,embedded-source/nsfc-topic-ideation/SKILL.md,nsfc-topic-ideation.md,4453,utf-8-sig,integrated
personal-research-discovery-os,embedded-source/personal-research-discovery-os/SKILL.md,personal-research-discovery-os.md,10185,utf-8-sig,integrated
pm-advanced-search,embedded-source/pm-advanced-search/SKILL.md,pm-advanced-search.md,2473,utf-8-sig,integrated
pm-export,embedded-source/pm-export/SKILL.md,pm-export.md,5523,utf-8-sig,integrated
pm-fulltext,embedded-source/pm-fulltext/SKILL.md,pm-fulltext.md,3459,utf-8-sig,integrated
pm-navigate-pages,embedded-source/pm-navigate-pages/SKILL.md,pm-navigate-pages.md,3220,utf-8-sig,integrated
pm-paper-detail,embedded-source/pm-paper-detail/SKILL.md,pm-paper-detail.md,5615,utf-8-sig,integrated
pm-search,embedded-source/pm-search/SKILL.md,pm-search.md,2516,utf-8-sig,integrated
reference-intelligence-mining,embedded-source/reference-intelligence-mining/SKILL.md,reference-intelligence-mining.md,2962,utf-8-sig,integrated
research-paper-writer-0.1.0,embedded-source/research-paper-writer-0.1.0/SKILL.md,research-paper-writer-0-1-0.md,9417,utf-8-sig,integrated
research-workflow-adapter,embedded-source/research-workflow-adapter/SKILL.md,research-workflow-adapter.md,28824,utf-8-sig,integrated
review-feasibility-to-meta,embedded-source/review-feasibility-to-meta/SKILL.md,review-feasibility-to-meta.md,12269,utf-8-sig,integrated
review-notes-questioning,embedded-source/review-notes-questioning/SKILL.md,review-notes-questioning.md,1957,utf-8-sig,integrated
review-notes-summary,embedded-source/review-notes-summary/SKILL.md,review-notes-summary.md,2141,utf-8-sig,integrated
review-replica-agent,embedded-source/review-replica-agent/SKILL.md,review-replica-agent.md,19169,utf-8-sig,integrated
scopus-advanced-search,embedded-source/scopus-advanced-search/SKILL.md,scopus-advanced-search.md,4413,utf-8-sig,integrated
scopus-author-detail,embedded-source/scopus-author-detail/SKILL.md,scopus-author-detail.md,3108,utf-8-sig,integrated
scopus-document-detail,embedded-source/scopus-document-detail/SKILL.md,scopus-document-detail.md,4826,utf-8-sig,integrated
scopus-export,embedded-source/scopus-export/SKILL.md,scopus-export.md,5941,utf-8-sig,integrated
scopus-fulltext,embedded-source/scopus-fulltext/SKILL.md,scopus-fulltext.md,2642,utf-8-sig,integrated
scopus-login,embedded-source/scopus-login/SKILL.md,scopus-login.md,3223,utf-8-sig,integrated
scopus-navigate-pages,embedded-source/scopus-navigate-pages/SKILL.md,scopus-navigate-pages.md,3419,utf-8-sig,integrated
scopus-parse-results,embedded-source/scopus-parse-results/SKILL.md,scopus-parse-results.md,3676,utf-8-sig,integrated
scopus-search,embedded-source/scopus-search/SKILL.md,scopus-search.md,5434,utf-8-sig,integrated
scopus-source-browse,embedded-source/scopus-source-browse/SKILL.md,scopus-source-browse.md,3707,utf-8-sig,integrated
sd-advanced-search,embedded-source/sd-advanced-search/SKILL.md,sd-advanced-search.md,5150,utf-8-sig,integrated
sd-download,embedded-source/sd-download/SKILL.md,sd-download.md,5283,utf-8-sig,integrated
sd-export,embedded-source/sd-export/SKILL.md,sd-export.md,6902,utf-8-sig,integrated
sd-journal-browse,embedded-source/sd-journal-browse/SKILL.md,sd-journal-browse.md,5761,utf-8-sig,integrated
sd-navigate-pages,embedded-source/sd-navigate-pages/SKILL.md,sd-navigate-pages.md,2184,utf-8-sig,integrated
sd-paper-detail,embedded-source/sd-paper-detail/SKILL.md,sd-paper-detail.md,6679,utf-8-sig,integrated
sd-parse-results,embedded-source/sd-parse-results/SKILL.md,sd-parse-results.md,2798,utf-8-sig,integrated
sd-search,embedded-source/sd-search/SKILL.md,sd-search.md,5548,utf-8-sig,integrated
stat-project-agent,embedded-source/stat-project-agent/SKILL.md,stat-project-agent.md,2848,utf-8-sig,integrated
sync-docs,embedded-source/sync-docs/SKILL.md,sync-docs.md,6866,utf-8-sig,integrated
theoretical-discovery-engine,embedded-source/theoretical-discovery-engine/SKILL.md,theoretical-discovery-engine.md,5119,utf-8-sig,integrated
wos-download,embedded-source/wos-download/SKILL.md,wos-download.md,5527,utf-8-sig,integrated
wos-export,embedded-source/wos-export/SKILL.md,wos-export.md,3999,utf-8-sig,integrated
wos_lit_mining,embedded-source/wos_lit_mining/SKILL.md,wos-lit-mining.md,3618,utf-8-sig,integrated
wos-navigate-pages,embedded-source/wos-navigate-pages/SKILL.md,wos-navigate-pages.md,3003,utf-8-sig,integrated
wos-paper-detail,embedded-source/wos-paper-detail/SKILL.md,wos-paper-detail.md,8658,utf-8-sig,integrated
wos-parse-results,embedded-source/wos-parse-results/SKILL.md,wos-parse-results.md,3052,utf-8-sig,integrated
wos-search,embedded-source/wos-search/SKILL.md,wos-search.md,2406,utf-8-sig,integrated
zotero-csl-skill,embedded-source/zotero-csl-skill/SKILL.md,zotero-csl-skill.md,2882,utf-8-sig,integrated
